Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title
00:00:12,28-01-2026,Extra,BR (Brazil),00:00:12,00:00:12,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Bricklayer_hook_02_16x9
00:00:07,28-01-2026,Extra,BR (Brazil),00:00:07,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Bricklayer_hook_02_16x9
00:00:05,28-01-2026,Extra,BR (Brazil),00:00:05,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Bricklayer_hook_02_16x9
00:00:06,28-01-2026,Extra,BR (Brazil),00:00:06,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Bricklayer_hook_02_16x9
00:03:17,27-01-2026,Extra,BR (Brazil),00:03:17,Not latest view,,Autoplayed: user action: None; ,Chrome OS (Cadmium),Dr. House: Temporada 5: Here Kitty (episódio 18)
00:39:56,27-01-2026,Extra,BR (Brazil),00:43:22,00:43:22,,,Chrome OS (Cadmium),Dr. House: Temporada 5: The Social Contract (episódio 17)
00:11:23,27-01-2026,Extra,BR (Brazil),00:43:19,00:43:19,,,Chrome OS (Cadmium),Dr. House: Temporada 5: The Softer Side (episódio 16)
00:28:47,27-01-2026,Extra,BR (Brazil),00:48:25,00:48:25,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Agente Infiltrado
00:01:01,27-01-2026,Extra,BR (Brazil),00:19:39,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Agente Infiltrado
00:02:40,27-01-2026,Extra,BR (Brazil),00:18:40,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Agente Infiltrado
00:00:11,27-01-2026,Extra,BR (Brazil),00:00:11,00:00:11,HOOK,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Agente Infiltrado (Clipe): Agente Infiltrado
00:00:04,27-01-2026,Extra,BR (Brazil),00:00:04,00:00:04,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Enforcer_hook_05
00:08:03,27-01-2026,Extra,BR (Brazil),00:08:09,00:08:09,,,DefaultWidevineAndroidPhone,O Amor Pode Ser Traduzido?: Minissérie: Episódio 1 (episódio 1)
00:25:06,27-01-2026,Extra,BR (Brazil),00:25:07,00:25:07,,,DefaultWidevineAndroidPhone,Invejosa: Temporada 3: O Pão e o Bolo (episódio 10)
00:26:00,27-01-2026,Extra,BR (Brazil),00:25:58,00:25:58,,,DefaultWidevineAndroidPhone,Invejosa: Temporada 3: Vazando Óleo (episódio 9)
00:00:20,27-01-2026,Extra,BR (Brazil),00:00:06,Not latest view,,,DefaultWidevineAndroidPhone,O Amor Pode Ser Traduzido?: Minissérie: Episódio 1 (episódio 1)
00:16:00,27-01-2026,Extra,BR (Brazil),00:16:00,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Agente Infiltrado
00:01:13,27-01-2026,Extra,BR (Brazil),00:01:13,Not latest view,HOOK,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Agente Infiltrado (Clipe): Agente Infiltrado
00:00:14,27-01-2026,Extra,BR (Brazil),00:00:14,00:00:14,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Luther: O Cair da Noite (Clipe): Luther: O Cair da Noite
00:00:11,27-01-2026,Extra,BR (Brazil),00:00:11,00:00:11,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Clipe 2: Tee Yai: Nascido para o Mal
00:00:05,27-01-2026,Extra,BR (Brazil),00:00:05,00:00:05,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Clipe 4: Exterritorial
00:00:09,27-01-2026,Extra,BR (Brazil),00:00:09,00:00:09,TEASER_TRAILER,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Teaser: Caos e Destruição
00:01:18,27-01-2026,Extra,BR (Brazil),00:01:18,00:01:18,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Bricklayer_hook_03_16x9
00:00:07,27-01-2026,Extra,BR (Brazil),00:00:07,00:00:07,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Skin Trade_hook_primary_16x9
00:00:04,27-01-2026,Extra,BR (Brazil),00:00:04,00:00:04,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): My Name
00:29:35,27-01-2026,Extra,BR (Brazil),00:31:33,Not latest view,,Autoplayed: user action: None; ,Chrome OS (Cadmium),Dr. House: Temporada 5: The Softer Side (episódio 16)
00:08:53,27-01-2026,Extra,BR (Brazil),00:08:53,00:08:53,,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,65: Ameaça Pré-Histórica
00:00:07,27-01-2026,Extra,BR (Brazil),00:00:07,00:00:07,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Revenant_hook_primary_16x9_backfill
00:00:08,27-01-2026,Extra,BR (Brazil),00:00:08,00:00:08,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Maze Runner: The Death Cure_hook_primary_16x9_backfill
00:00:18,27-01-2026,Extra,BR (Brazil),00:00:18,00:00:18,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Blood Red Sky - Upper Bound Clip 15
00:00:08,27-01-2026,Extra,BR (Brazil),00:00:08,00:00:08,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Maze Runner: The Scorch Trials_hook_primary_16x9_backfill
00:01:22,27-01-2026,Extra,BR (Brazil),00:01:22,00:01:22,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,No Time to Die_hook_03
00:00:33,27-01-2026,Extra,BR (Brazil),00:00:33,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Skin Trade_hook_primary_16x9
00:00:05,27-01-2026,Extra,BR (Brazil),00:00:05,00:00:05,TRAILER,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Trailer: O Amor Pode Ser Traduzido?
00:00:09,27-01-2026,Extra,BR (Brazil),00:00:09,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): My Name
00:32:23,27-01-2026,Extra,BR (Brazil),00:43:20,00:43:20,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Unfaithful (episódio 15)
00:00:04,27-01-2026,Extra,BR (Brazil),00:00:04,00:00:04,HOOK,Autoplayed: user action: None; ,Chrome OS (Cadmium),"Temporada 5 (Clipe 4): Solteiros, Ilhados e Desesperados"
00:50:37,27-01-2026,Extra,BR (Brazil),01:42:17,01:42:17,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Demon City
00:51:41,27-01-2026,Extra,BR (Brazil),00:51:41,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Demon City
00:00:16,27-01-2026,Extra,BR (Brazil),00:00:16,00:00:16,HOOK,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Clipe 8: Demon City
00:00:10,27-01-2026,Extra,BR (Brazil),00:00:10,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): My Name
00:00:07,27-01-2026,Extra,BR (Brazil),00:00:07,00:00:07,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Sniper: Ultimate Kill - CLM 2
00:00:32,27-01-2026,Extra,BR (Brazil),00:00:32,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Clipe 8: Demon City
00:00:10,27-01-2026,Extra,BR (Brazil),00:00:10,00:00:10,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe 2): A Criatura de Gyeongseong
00:00:06,27-01-2026,Extra,BR (Brazil),00:00:06,00:00:06,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Clipe 4: Amor Enrolado
00:00:11,27-01-2026,Extra,BR (Brazil),00:00:11,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): My Name
00:00:22,27-01-2026,Extra,BR (Brazil),00:00:22,00:00:22,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): Cães de Caça
00:00:06,27-01-2026,Extra,BR (Brazil),00:00:06,00:00:06,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Minissérie (Clipe 8): O Amor Pode Ser Traduzido?
00:00:16,27-01-2026,Extra,BR (Brazil),00:00:16,00:00:16,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Encounter: Season 1_hook_primary_16x9
00:43:03,27-01-2026,Extra,BR (Brazil),00:45:20,00:45:20,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Mais velha (episódio 12)
00:11:21,27-01-2026,Extra,BR (Brazil),00:26:02,00:26:02,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Não vá para Mustique (episódio 11)
00:15:01,27-01-2026,Extra,BR (Brazil),00:14:58,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Não vá para Mustique (episódio 11)
00:11:52,27-01-2026,Extra,BR (Brazil),00:30:14,00:30:14,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Inkubator (episódio 10)
00:18:34,27-01-2026,Extra,BR (Brazil),00:18:39,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Inkubator (episódio 10)
00:02:51,27-01-2026,Extra,BR (Brazil),00:28:06,00:28:06,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Efeito colateral (episódio 9)
00:04:41,27-01-2026,Extra,BR (Brazil),00:05:53,Not latest view,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Unfaithful (episódio 15)
00:32:23,27-01-2026,Extra,BR (Brazil),00:43:25,00:43:25,,,Chrome OS (Cadmium),Dr. House: Temporada 5: The Greater Good (episódio 14)
00:35:05,26-01-2026,Extra,BR (Brazil),00:43:20,00:43:20,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Big Baby (episódio 13)
00:04:29,26-01-2026,Extra,BR (Brazil),00:12:41,00:12:41,,,DefaultWidevineAndroidPhone,The Rising of the Shield Hero: Temporada 2: Ost Horai (episódio 5)
00:32:14,26-01-2026,Extra,BR (Brazil),00:43:19,00:43:19,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Painless (episódio 12)
00:00:19,26-01-2026,Extra,BR (Brazil),00:43:54,00:43:54,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Joy to the World (episódio 11)
00:01:28,26-01-2026,Extra,BR (Brazil),00:25:19,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Efeito colateral (episódio 9)
00:02:01,26-01-2026,Extra,BR (Brazil),00:23:50,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Efeito colateral (episódio 9)
00:00:19,26-01-2026,Extra,BR (Brazil),00:00:14,00:00:14,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: A Palavra com F (episódio 6)
00:22:12,26-01-2026,Extra,BR (Brazil),00:21:46,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: Efeito colateral (episódio 9)
00:24:57,26-01-2026,Extra,BR (Brazil),00:24:47,00:24:47,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: A baronesa (episódio 8)
00:27:33,26-01-2026,Extra,BR (Brazil),00:27:08,00:27:08,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: O filho também se levanta (episódio 7)
00:07:04,26-01-2026,Extra,BR (Brazil),00:28:21,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: A Palavra com F (episódio 6)
00:10:47,26-01-2026,Extra,BR (Brazil),00:21:19,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: A Palavra com F (episódio 6)
00:01:33,26-01-2026,Extra,BR (Brazil),00:08:10,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: A Palavra com F (episódio 6)
00:00:09,26-01-2026,Extra,BR (Brazil),00:14:04,00:14:04,,,DefaultWidevineAndroidPhone,"Younger: Temporada 7: É o fim do mundo, menina minhoca (episódio 2)"
00:05:57,26-01-2026,Extra,BR (Brazil),00:05:41,Not latest view,,,DefaultWidevineAndroidPhone,Younger: Temporada 7: A Palavra com F (episódio 6)
00:30:08,26-01-2026,Extra,BR (Brazil),00:42:12,Not latest view,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Joy to the World (episódio 11)
00:07:53,26-01-2026,Extra,BR (Brazil),00:09:21,Not latest view,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Joy to the World (episódio 11)
00:04:42,26-01-2026,Extra,BR (Brazil),00:43:08,00:43:08,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Let Them Eat Cake (episódio 10)
01:10:57,26-01-2026,Extra,BR (Brazil),01:36:58,01:36:58,,,Chrome PC (Cadmium),"Carrie, a Estranha"
00:36:50,25-01-2026,Extra,BR (Brazil),00:38:10,Not latest view,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Let Them Eat Cake (episódio 10)
00:48:39,25-01-2026,Extra,BR (Brazil),00:49:23,00:49:23,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Last Resort (episódio 9)
00:25:56,25-01-2026,Extra,BR (Brazil),00:25:53,Not latest view,,,Chrome PC (Cadmium),"Carrie, a Estranha"
00:25:42,25-01-2026,Extra,BR (Brazil),00:43:19,00:43:19,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Emancipation (episódio 8)
00:56:14,25-01-2026,Extra,BR (Brazil),00:56:38,00:56:38,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Cães de Caça: Temporada 1: Episódio 2 (episódio 2)
00:02:34,25-01-2026,Extra,BR (Brazil),00:57:51,00:57:51,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Cães de Caça: Temporada 1: Episódio 1 (episódio 1)
00:00:09,25-01-2026,Extra,BR (Brazil),00:00:09,00:00:09,HOOK,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): Cães de Caça
00:00:06,25-01-2026,Extra,BR (Brazil),00:00:06,00:00:06,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Magnificent Seven_hook_primary_16x9
00:55:19,25-01-2026,Extra,BR (Brazil),00:55:19,Not latest view,,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Cães de Caça: Temporada 1: Episódio 1 (episódio 1)
00:01:49,25-01-2026,Extra,BR (Brazil),00:01:49,Not latest view,HOOK,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe): Cães de Caça
00:00:49,25-01-2026,Extra,BR (Brazil),00:00:49,00:00:49,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,POLAR_CLIP_ACT2CONFLICT
00:01:01,25-01-2026,Extra,BR (Brazil),00:01:01,00:01:01,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Parte 2 (Clipe): Alquimia das Almas
00:51:59,25-01-2026,Extra,BR (Brazil),01:49:18,01:49:18,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou
00:04:12,25-01-2026,Extra,BR (Brazil),00:07:08,Not latest view,,,DefaultWidevineAndroidPhone,The Rising of the Shield Hero: Temporada 2: Ost Horai (episódio 5)
00:09:49,25-01-2026,Extra,BR (Brazil),00:22:07,00:22:07,,,DefaultWidevineAndroidPhone,The Rising of the Shield Hero: Temporada 2: Ruínas na névoa (episódio 4)
00:34:56,25-01-2026,Extra,BR (Brazil),00:49:38,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou
00:06:07,25-01-2026,Extra,BR (Brazil),00:11:54,Not latest view,,,DefaultWidevineAndroidPhone,The Rising of the Shield Hero: Temporada 2: Ruínas na névoa (episódio 4)
00:13:40,25-01-2026,Extra,BR (Brazil),00:22:07,00:22:07,,,DefaultWidevineAndroidPhone,The Rising of the Shield Hero: Temporada 2: A Terra treme (episódio 3)
00:12:51,25-01-2026,Extra,BR (Brazil),00:14:43,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou
00:01:34,25-01-2026,Extra,BR (Brazil),00:01:52,Not latest view,,,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou
00:00:17,25-01-2026,Extra,BR (Brazil),00:00:17,00:00:17,HOOK,Autoplayed: user action: User_Interaction; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou (Clipe 5): Lou
00:00:12,25-01-2026,Extra,BR (Brazil),00:00:12,00:00:12,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Temporada 1 (Clipe 12): Os Sete Relógios de Agatha Christie
