Tittle_Name,tmdb_id,name,media_type,vote_average,vote_count,popularity,release_date,runtime,genres,director,top_cast,overview
"""Nunca Mais Outra Vez""",36670,007: Nunca Mais Outra Vez,movie,6.06,1570,5.9534,1983-10-07,134.0,"Aventura, Ação, Thriller",Irvin Kershner,"Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera, Kim Basinger","James Bond (Sean Connery) é convocado para reaver bombas nucleares roubadas pela Spectre, uma terrível organização criminosa que pretende lançá-las em cidades americanas. Mas terá que enfrentar uma sexy assassina profissional, contratada especialmente para eliminá-lo."
"""Dr. House",1408,Dr. House,tv,8.576,7375,167.7769,2004-11-16,,Drama,,"Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Odette Annable","O Dr. Gregory House é um médico genial, mas misantropo e viciado em analgésicos, que lidera uma equipe de diagnóstico em um hospital de Nova Jersey. Com um cinismo implacável e métodos pouco ortodoxos, ele trata os casos médicos mais raros e misteriosos como quebra-cabeças complexos, desafiando todos ao seu redor para chegar à verdade."
"""Bridgerton",91239,Bridgerton,tv,8.1,3192,272.9356,2020-12-25,,Drama,,"Ruth Gemmell, Luke Thompson, Yerin Ha, Luke Newton, Claudia Jessie","Um mundo sensual, luxuoso e competitivo da alta sociedade londrina no início do século XIX. Nesse período, a família Bridgerton, composta por oito irmãos, enfrenta o disputado mercado de casamentos, os bailes suntuosos de Mayfair e os palácios aristocráticos de Park Lane."
"""Agente Infiltrado""",1102776,Agente Infiltrado,movie,6.86,674,1.4157,2023-04-28,122.0,Ação,Morgan S. Dalibert,"Alban Lenoir, Éric Cantona, Thibault de Montalembert, Sveva Alviti, Saïdou Camara","Um homem enfrenta um dilema moral depois de se infiltrar em um grupo criminoso. A situação piora quando o filho do chefe, um garoto de oito anos, entra na jogada."
"""O Amor Pode Ser Traduzido?",229891,O Amor Pode Ser Traduzido?,tv,8.565,85,15.9255,2026-01-16,,"Drama, Comédia",유영은,"김선호, Go Youn-jung, 福士蒼汰, 이이담, 최우성","Em uma viagem para gravar um programa de TV, os sentimentos de uma celebridade e seu intérprete acabam presos na barreira do idioma. Será que a linguagem do amor vai vencer?"
"""Invejosa",261615,Invejosa,tv,7.713,82,6.8125,2024-09-18,,"Comédia, Drama",,"Griselda Siciliani, Esteban Lamothe, Pilar Gamboa, Violeta Urtizberea, Marina Bellati","Após um término terrível e prestes a fazer 40 anos, Vicky busca um novo amor. Nessa missão, ela embarca em uma jornada de autodescoberta muito profunda (e divertida)."
"""Clipe 2",292140,Clipe: Cante com Bubu (2019),tv,0.0,0,0.0539,,,,,,"Cante com Bubu é pura fofura! São 10 novas músicas cuidadosamente produzidas para alegrar o dia a dia das crianças. Em cada uma delas, as corujinhas brincam e se divertem em cenários super bonitos e coloridos. As músicas são únicas e trazem estilos musicais diferentes, indo do reggae ao samba. As letras acompanham as músicas, fazendo todos querem soltar a voz junto com as corujinhas!"
"""Clipe 4",991409,Clipes Animados Vol. 4,movie,0.0,0,0.0,2009-12-31,114.0,,,,Compilação de clipes de animações com música dos anos 2000.
"""Teaser",75865,Teasing Master Takagi-san,tv,8.2,389,13.9014,2018-01-08,,"Animação, Comédia",,"Yuki Kaji, Rie Takahashi","A história foca no estudante do ensino médio Nishikata, que sofreu humilhações após ser provocado pela Takagi, a menina da mesma classe dele. Desde então, ele prometeu que vai fazer Takagi ser humilhada do mesmo jeito que ele foi humilhado."
"""Luther",17519,Zeke e Luther,tv,7.7,101,7.6693,2009-06-15,,"Comédia, Família",,"Hutch Dano, Adam Hicks, Daniel Curtis Lee","Zeke e Luther não querem mais nada da vida a não ser se tornar skatistas mundialmente famosos. Junto com seus amigos, skatistas rivais e família, Zeke e Luther estão sempre ocupados se metendo em confusão."
"""65",700391,65: Ameaça Pré-Histórica,movie,5.955,2759,9.6274,2023-03-02,92.0,"Ação, Aventura, Ficção científica",Bryan Woods,"Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King, Brian Dare","Após um acidente catastrófico em um planeta desconhecido, o piloto Mills rapidamente descobre que está preso na Terra há 65 milhões de anos. Agora, com apenas uma chance de resgate, Mills e o único outro sobrevivente, Koa, devem atravessar um terreno desconhecido cheio de perigosas criaturas pré-históricas (incluindo dinossauros) em uma luta épica para sobreviver."
"""Maze Runner",198663,Maze Runner: Correr ou Morrer,movie,7.189,17899,16.0908,2014-09-10,113.0,"Ação, Mistério, Ficção científica, Thriller",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Will Poulter","Num cenário pós-apocalíptico, uma comunidade de rapazes descobre que estão presos num labirinto misterioso. Juntos, terão de descobrir como escapar, resolver o enigma e revelar o arrepiante segredo acerca de quem os colocou ali e por que razão."
"""Sniper",190859,Sniper Americano,movie,7.413,13495,8.7322,2014-12-25,132.0,"Guerra, Ação",Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed","Chris Kyle é um atirador de elite das forças especiais da marinha dos Estados Unidos. Durante a Guerra do Iraque, sua missão é proteger seus companheiros e seu dever faz dele um dos maiores atiradores da história norte-americana. Sua precisão salva inúmeras vidas, mas também o torna um alvo preferencial. Quando Kyle finalmente volta para casa, ele descobre que não tem como deixar a guerra para trás."
"""Trailer",9530,Férias no Trailer,movie,5.883,1767,4.8995,2006-04-28,136.0,"Família, Comédia, Aventura",Barry Sonnenfeld,"Robin Williams, Cheryl Hines, JoJo, Josh Hutcherson, Jeff Daniels","Bob Munro está estressado de tanto trabalhar. Decidido a descansar, ele quer levar sua esposa Jamie e seus filhos Cassie e Carl  para uma viagem. Após prometer levá-los ao Havaí, Bob decide mudar os planos sem comunicá-los e decide viajar pelo Colorado em um trailer. Jamie, Cassie e Carl não gostam da ideia, mas aceitam fazer a viagem. Só que a vida em um trailer não tem o conforto com o qual estão acostumados em Los Angeles e cada tentativa de Bob em animar sua família acaba se tornando um grande desastre."
"""Demon City""",1405338,Demon City,movie,6.901,309,4.7734,2025-02-26,106.0,"Ação, Crime, Fantasia, Thriller",田中征爾,"生田斗真, 東出昌大, Mio Tanaka, 當真あみ, 駿河太郎","Acusado de matar a própria família e abandonado à beira da morte, um ex-assassino vai fazer de tudo para se vingar dos ""demônios"" mascarados que dominaram a cidade."
"""Encounter",15724,Encounters of the Spooky Kind,movie,6.75,98,2.348,1980-12-24,103.0,"Ação, Comédia, Fantasia, Terror",洪金寶,"洪金寶, 鍾發, 午馬, 林正英, 陳龍","Cheung é um homem corajoso, mas ingênuo, que não sabe que sua esposa o está traindo com seu chefe. Este último é um comerciante rico e inescrupuloso que decide se livrar de seu funcionário problemático. Então ele decide contratar os serviços de um poderoso feiticeiro taoísta corrupto. Felizmente, seu colega, que não compartilha sua opinião, decide ajudar Cheung a se defender dos feitiços malignos que o assombram durante a noite."
"""Younger",62117,Younger: 40 é o Novo 20,tv,6.812,231,37.4393,2015-03-31,,"Drama, Comédia",,"Sutton Foster, Hilary Duff, Debi Mazar, Nico Tortorella, Molly Bernard","Liza decide começar uma nova carreira aos 40 anos e encontra dificuldades por causa da idade. Ela passa por uma transformação, com a ajuda de uma amiga, para parecer bem mais nova."
"""The Rising of the Shield Hero",83095,The Rising of the Shield Hero,tv,8.507,1522,11.7605,2019-01-09,,"Animação, Action & Adventure, Sci-Fi & Fantasy, Drama",,"Kaito Ishikawa, Asami Seto, Rina Hidaka","Iwatani Naofumi, um otaku como qualquer outro, encontra um livro numa biblioteca que o transporta para outro mundo. Ele recebe a missão de se tornar o Herói do Escudo, um dos Quatro Heróis Cardinais que enfrentará as Ondas de Catástrofe ao lado dos Heróis da Espada, Lança e Arco. Empolgado com as aventuras, Naofumi sai em missão com sua equipe. Contudo, alguns poucos dias depois, ele é traído e perde todo o seu dinheiro, dignidade e respeito. Será que ele vai encontrar uma saída dessa situação desesperadora?"
"""Carrie, a Estranha""",7340,"Carrie, A Estranha",movie,7.329,4229,6.8287,1976-11-03,98.0,"Terror, Thriller",Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta","A quieta e sensível adolescente Carrie White enfrenta insultos dos colegas na escola e abuso em casa de sua mãe, uma fanática religiosa. Quando estranhos acontecimentos começam a acontecer em torno de Carrie, ela começa a suspeitar que tem poderes sobrenaturais."
"""Cães de Caça",127529,Cães de Caça,tv,8.3,495,16.9623,2023-06-09,,"Drama, Action & Adventure, Crime",,"우도환, Lee Sang-yi, 허준호, 박성웅, Eugene Ko",Dois jovens boxeadores se juntam a um agiota bonzinho para derrotar um concorrente que se aproveita das pessoas mais vulneráveis.
"""Lou""",433471,Lou,movie,7.5,420,2.4948,2017-06-16,6.0,"Família, Fantasia, Animação, Comédia",Dave Mullins,,"O filme gira em torno de uma criatura chamada Lou, que reside na caixa de achados e perdidos de um playground. Ele é composto de um hoodie vermelho e algumas bolas de beisebol, enquanto tenta manter um olho protetor sobre as crianças enquanto elas brincam. Quando um valentão chamado JJ começa a aterrorizar as outras crianças, Lou decide tomar uma atitude para protegê-las."
"""A Jornada do Herói""",79720,Jornada de Heróis,tv,7.2,37,3.4209,2018-05-13,,"Drama, Action & Adventure, War & Politics",Omri Givon,"Tomer Capone, Moshe Ashkenazi, מיכאל אלוני, Nadav Nates, נינט טייב","Anos após um rompimento doloroso, quatro veteranos militares israelenses se reúnem e viajam para a Colômbia em busca de uma pessoa querida, que achavam estar morta."
"""Dele & Dela",259731,Dele & Dela,tv,7.252,315,21.2862,2026-01-08,,"Drama, Crime, Mistério",,"Tessa Thompson, Jon Bernthal, Pablo Schreiber, Crystal R. Fox, Sunita Mani","Um detetive e uma repórter, que já foram um casal, disputam para solucionar um assassinato em que os dois são os principais suspeitos."
"""Depois do Terremoto""",729854,Sobreviventes - Depois do Terremoto,movie,6.94,282,2.4904,2023-08-09,130.0,"Thriller, Ação",엄태화,"Lee Byung-hun, Park Seo Joon, Park Bo-young, Kim Sun-young, 김도윤","Depois de um grande terremoto, em Seul, há apenas um prédio em pé. Com o passar do tempo, pessoas de fora começam a entrar para se protegerem do frio extremo. Para lidar com o número crescente, os moradores decretam uma medida especial."
"""Dinheiro Suspeito""",1306368,Dinheiro Suspeito,movie,7.074,1288,42.7389,2026-01-13,113.0,"Ação, Thriller, Crime",Joe Carnahan,"Matt Damon, Ben Affleck, Steven Yeun, Teyana Taylor, Catalina Sandino Moreno","Quando uma equipe de policiais de Miami encontra milhões de dólares em um muquifo usado como esconderijo, a confiança fica abalada e todos viram suspeitos."
"""Black Clover",73223,Black Clover,tv,8.486,2044,15.1461,2017-10-03,,"Animação, Action & Adventure, Sci-Fi & Fantasy",,"Gakuto Kajiwara, Nobunaga Shimazaki, 優木かな, Junichi Suwabe, Genki Muro","Num mundo onde magia é tudo, Asta e Yuno são abandonados em uma igreja no mesmo dia. Enquanto Yuno possui poderes mágicos excepcionais, Asta é a única pessoa do mundo todo desprovida desse dom. Aos quinze anos, ambos recebem grimórios - livros mágicos que amplificam os poderes do detentor. Asta recebe um raro grimório de anti-magia, capaz de negar e repelir os feitiços do oponente. Dois opostos que nutrem uma rivalidade amigável, Yuno e Asta estão prontos para encarar os mais difíceis desafios para conquistar seu sonho em comum: tornar-se o Rei dos Feiticeiros. Desistir não é opção!"
"""Como Eu Era Antes de Você""",296096,Como Eu Era Antes de Você,movie,7.92,13078,13.6839,2016-06-01,110.0,"Drama, Romance",Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance, Brendan Coyle","Will é um garoto rico e bem-sucedido, até sofrer um grave acidente que o deixa preso a uma cadeira de rodas. Ele está profundamente depressivo e contrata uma garota do campo para cuidar dele. Ela sempre levou uma vida modesta, com dificuldades financeiras e problemas no trabalho, mas está disposta a provar para Will que ainda existem razões para viver."
"""Reis",31628,Par de Reis,tv,7.8,116,14.7459,2010-09-10,,"Família, Action & Adventure, Comédia, Sci-Fi & Fantasy",,"Doc Shaw, Adam Hicks, Kelsey Asbille, Ryan Ochoa, Geno Segers","Os gêmeos Brady e Boomer descobrem que são herdeiros de uma ilha e viajam para reclamar sua herança, mas não é tão fácil quanto parece. A ilha abriga uma série de superstições e costumes, que entram em choque com a educação americana dos gêmeos."
"""Sandokan",271855,Sandokan,tv,7.6,38,18.4227,2025-12-01,,"Action & Adventure, Drama, War & Politics",,"Can Yaman, Alanah Bloor, Alessandro Preziosi, Ed Westwick, Madeleine Price","Sandokan é um pirata malaio que, junto com seu amigo Yanez e sua tripulação, ataca as forças britânicas em sua ilha de Mompracem. Durante suas aventuras, ele se apaixona por Lady Marianna Guillonk, uma aristocrata inglês-italiana."
"""Os Sete Relógios de Agatha Christie",250505,Os Sete Relógios de Agatha Christie,tv,6.305,146,9.8474,2026-01-15,,"Drama, Mistério",,"Mia McKenna-Bruce, Helena Bonham Carter, Martin Freeman, Corey Mylchreest, Edward Bluemel","Inglaterra, 1925. Uma brincadeira em uma festa de arromba teve um final trágico. Caberá à investigadora mais improvável de todas desvendar um mistério que mudará sua vida."
"""Entre Facas e Segredos""",546554,Entre Facas e Segredos,movie,7.842,13709,12.33,2019-11-27,131.0,"Comédia, Crime, Mistério",Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon","Após comemorar 85 anos de idade, o famoso escritor de histórias policiais Harlan Thrombey é encontrado morto dentro de sua propriedade. Logo, o detetive Benoit Blanc é contratado para investigar o caso e descobre que, entre os funcionários misteriosos e a família conflituosa de Harlan, todos podem ser considerados suspeitos do crime."
"""Vivo ou Morto",812583,Vivo ou Morto: Um Mistério Knives Out,movie,7.206,2130,17.6874,2025-11-26,145.0,"Thriller, Mistério, Comédia",Rian Johnson,"Daniel Craig, Josh O'Connor, Glenn Close, Josh Brolin, Mila Kunis",O detetive Benoit Blanc conta com a ajuda de um jovem padre para investigar um crime perfeitamente impossível na igreja de uma cidadezinha que tem uma história sombria.
"""Os Pequenos Vestígios""",602269,Os Pequenos Vestígios,movie,6.337,2747,6.0973,2021-01-28,128.0,"Drama, Crime, Thriller",John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt",Um policial começa a ter problemas em sua investigação devido a seu passado obscuro e sua tendência por quebrar as regras.
"""Stranger Things",66732,Stranger Things,tv,8.577,20747,191.5827,2016-07-15,,"Sci-Fi & Fantasy, Mistério, Action & Adventure",,"Winona Ryder, David Harbour, Millie Bobby Brown, Finn Wolfhard, Gaten Matarazzo","Quando um garoto desaparece, a cidade toda participa nas buscas. Mas o que encontram são segredos, forças sobrenaturais e uma menina."
"""The Rookie",79744,O Novato,tv,8.535,2992,252.8858,2018-10-16,,"Crime, Drama, Comédia",,"Nathan Fillion, Melissa O'Neil, Eric Winter, Alyssa Diaz, Mekia Cox","John Nolan, um homem de 40 anos, deixa para trás sua vida confortável em uma cidade pequena para viver seu sonho de ser um agente policial no Departamento de Polícia de Los Angeles. Como o novato mais velho, ele enfrenta a descrença de seus colegas."
"""S.W.A.T - Força de Intervenção",71790,S.W.A.T.: Força de Intervenção,tv,8.052,1547,84.5056,2017-11-02,,"Crime, Action & Adventure, Drama",,"Shemar Moore, Jay Harrington, David Lim, Patrick St. Esprit, Anna Enger Ritch","Dividido entre a corporação e as ruas, o tenente Daniel Harrelson encara a missão de liderar uma unidade do Esquadrão de Armas e Táticas Especiais na comunidade onde cresceu."
"""Teaser 2",721492,Cross Club 2: Project Genesis – The Teaser,movie,0.0,0,0.0555,2002-01-01,12.0,"Terror, Ficção científica",Oliver Krekel,"Erich Amerkamp, Sibylle Rauch, Manoush, Mario Grete, Kai Havaii",
"""Tougen Anki",253811,Tougen Anki,tv,7.705,78,14.1006,2025-07-11,,"Animação, Mistério, Action & Adventure",,"Kazuki Ura, Hiroshi Kamiya, 西山宏太朗, Manaka Iwami, Shogo Sakata","Depois que um assassino da facção Momotaro mata seu pai adotivo, Shiki jura vingança. Mas, primeiro, ele precisa aprender a controlar seu sangue Oni."
"""Naruto Shippuden",31910,Naruto Shippuden,tv,8.532,8559,52.1402,2007-02-15,,"Animação, Action & Adventure, Sci-Fi & Fantasy",,"竹内順子, Noriaki Sugiyama, 中村千絵, Kazuhiko Inoue, Showtaro Morikubo","Naruto Shippuden ocorre 2 anos e meio após Naruto ter deixado a vila para treinar com Jiraiya. Após seu retorno, Naruto descobre que seus amigos  shinobi's o superaram na classificação, e ele caiu para trás. No  entanto, com apenas 6 meses para resgatar Sasuke, Naruto tem de  enfrentar inimigos ainda mais perigosos. O plano da Akatsuki se revela  lentamente e os perigos surgem mais do que nunca!"
"""iCarly",5371,iCarly,tv,7.964,1526,39.8905,2007-09-08,,"Comédia, Kids, Família, Drama",,"Miranda Cosgrove, Jennette McCurdy, Nathan Kress, Jerry Trainor, Noah Munck","Carly Shay tem sua vida radicalmente mudada quando seu programa na internet torna-se um sucesso entre os jovens. Como seus pais estão viajando, Carly precisa contar com a ajuda de seu irmão e amigos para administrar sua recente fama."
"""Hunter x Hunter",46298,Hunter x Hunter,tv,8.7,2041,55.7679,2011-10-02,,"Animação, Action & Adventure, Sci-Fi & Fantasy",,"Megumi Han, Mariya Ise, Issei Futamata, Miyuki Sawashiro, Keiji Fujiwara","Monstros amedrontadores, criaturas exóticas, riquezas vastas, tesouros misteriosos, terras vis e terras inexploradas... Gon parte em uma aventura para se tornar um caçador profissional que arrisca a própria vida em busca do desconhecido. Pelo caminho, ele conhece outros participantes da Prova dos Caçadores: Kurapika, Leorio e Killua. Será Gon capaz de vencer os grandes desafios da Prova de Caçadores e se tornar o melhor do mundo? Esta jornada selvagem e épica está prestes a começar!!"
"""The Thundermans",58981,Os Thundermans,tv,8.016,593,16.817,2013-10-14,,"Action & Adventure, Comédia, Família, Sci-Fi & Fantasy",,"Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez, Chris Tallman","A série fala sobre uma família suburbana com superpoderes. Os gêmeos especificamente de 14 anos de idade Phoebe e Max uma super-heroína e um supervilão. Eles se mudaram para Hiddenville para viver uma vida normal, mas manter a identidade secreta em segredo não é tão fácil assim mas fazem tudo pelos que amam."
"""Matilda",668482,Matilda: O Musical,movie,6.793,799,4.8599,2022-11-25,117.0,"Família, Comédia, Fantasia",Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham, Andrea Riseborough","Uma jovem extraordinária descobre seu superpoder e convoca a coragem notável, contra todas as probabilidades, para ajudar os outros a mudar suas histórias, ao mesmo tempo em que assume o controle de seu próprio destino. Defendendo o que é certo, ela obteve resultados milagrosos."
"""Jujutsu Kaisen",95479,Jujutsu Kaisen,tv,8.559,4223,175.5324,2020-10-03,,"Animação, Action & Adventure, Sci-Fi & Fantasy",,,"Sofrimento, arrependimento, vergonha: os sentimentos negativos dos humanos tornam-se Maldições, causando terríveis acidentes que podem levar até mesmo à morte. E pra piorar, Maldições só podem ser exorcizadas por outras Maldições. Certo dia, para salvar amigos que estavam sendo atacados por Maldições, Yuji Itadori engole o dedo do Ryomen-Sukuna, absorvendo sua Maldição. Ele então decide se matricular no Colégio Técnico de Feitiçaria de Tóquio, uma organização que combate as Maldições... e assim começa a heróica lenda do garoto que tornou-se uma Maldição para exorcizar uma Maldição."
"""House, M.D.",1408,Dr. House,tv,8.576,7375,167.7769,2004-11-16,,Drama,,"Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Odette Annable","O Dr. Gregory House é um médico genial, mas misantropo e viciado em analgésicos, que lidera uma equipe de diagnóstico em um hospital de Nova Jersey. Com um cinismo implacável e métodos pouco ortodoxos, ele trata os casos médicos mais raros e misteriosos como quebra-cabeças complexos, desafiando todos ao seu redor para chegar à verdade."
"""Clipe",158511,O Mundo de Karma: Clipes,tv,2.5,2,0.1632,2022-02-24,,"Animação, Kids",,,Entre no mundo musical de Karma enquanto ela balança o microfone - e seus cachos - para esta lista de reprodução divertida e descolada repleta de rimas e o poder da positividade!
"""Guerra e Revolta""",1075676,Guerra e Revolta,movie,6.985,195,2.4892,2024-10-02,128.0,"Ação, Drama, História",김상만,"강동원, 박정민, 차승원, Kim Shin Rok, 진선규","Na dinastia Joseon, dois amigos que cresceram como senhor e servo se reencontram após a guerra, mas agora são inimigos em lados opostos."
"""Tomb Raider",338970,Tomb Raider: A Origem,movie,6.368,8249,11.4712,2018-03-05,122.0,"Ação, Aventura, Fantasia",Roar Uthaug,"Alicia Vikander, Dominic West, Walton Goggins, 吳彥祖, Kristin Scott Thomas","Lara Croft é a independente filha de um aventureiro excêntrico que desapareceu há sete anos. Com a esperança de resolver o mistério do desaparecimento de seu pai, Lara embarca em uma perigosa jornada para seu último destino conhecido: Um túmulo lendário em uma ilha mítica que pode estar em algum lugar ao largo da costa do Japão. As apostas não podiam ser maiores, pois Lara deve confiar em sua mente aguçada, fé cega e teimosia para se aventurar no desconhecido."
"""Namorado de Natal",95612,Namorado de Natal,tv,7.43,257,4.5443,2019-12-05,,"Drama, Comédia",Per-Olav Sørensen,"Ida Elise Broch, Gabrielle Leithaug, Eric Curtis Johnson, Mads Sjøgård Pettersen, Hege Schøyen","Johanne, de 30 e poucos anos, tenta encarar o romance e o drama familiar durante as festas de fim de ano."
"""O cavaleiro das trevas""",155,Batman: O Cavaleiro das Trevas,movie,8.527,35256,28.565,2008-07-16,152.0,"Ação, Crime, Thriller",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal","Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam para combater o Homem-Morcego."
"""Você",78191,Você,tv,8.017,3818,54.3634,2018-09-09,,"Mistério, Crime, Drama",,"Penn Badgley, Charlotte Ritchie, Griffin Matthews, Anna Camp, Madeline Brewer","Obsessivo e perigosamente charmoso, ele vai ao extremo para entrar na vida de quem o fascina. Você pode acabar fisgada sem nem perceber. Aí, pode ser tarde demais."
"""Fargo",60622,Fargo,tv,8.29,3146,85.3655,2014-04-15,,"Crime, Drama",,"Juno Temple, Jennifer Jason Leigh, David Rysdahl, Joe Keery, Lamorne Morris","Billy Bob Thornton será Lorne Malvo, um homem sem raízes e manipulador, que conhece e muda para sempre a vida de um vendedor de seguros de uma pequena cidade, Lester Nygaard, interpretado por Martin Freeman. Colin Hanks será o policial Gus Grimly, pai solteiro que deve escolher entre sua segurança pessoal e seu dever como agente da lei, ao ficar cara a cara com um assassino. Allison Tolman será Molly Solverson, uma ambiciosa policial."
"""Kamisama Kiss",62741,Kamisama Hajimemashita,tv,8.6,996,15.8972,2012-10-02,,"Animação, Comédia, Sci-Fi & Fantasy",大地丙太郎,"Yui Horie, 三森すずこ, Daisuke Namikawa, 岸尾だいすけ, Satomi Sato","Após ver seu pai fugir de casa por causa de dividas de jogo e sendo expulsa do seu apartamento, Nanami conhece Mikage, um homem estranho que tem muito medo de cachorros. Nanami o salva de um cachorro e acaba contando sua história. Como agradecimento pelo salvamento ele oferece à garota uma estadia em sua casa, mas chegando lá ela acaba descobrindo que a casa na verdade é um templo! Agora ela acaba tendo que cuidar do templo, tendo um monte de responsabilidades que não entende, perigos que ela ainda não sabe e formando contrato que ela pode acabar se arrependendo – ou não – no futuro."
"""Expresso do Destino""",682426,Expresso do Destino,movie,5.5,62,0.4452,2020-06-19,90.0,"Comédia, Romance",Ozan Açıktan,"Metin Akdülger, Dilan Çiçek Deniz, Tevfik Kartal, Ömür Kayakırılmaz, İsmail Hakkı Şen",Uma viagem de trem na Turquia revela uma estranha conexão na vida romântica de um casal de desconhecidos.
"""Terra Indomável",215866,Terra Indomável,tv,7.675,425,9.5553,2025-01-09,,"Faroeste, Drama, Action & Adventure",,"Taylor Kitsch, Betty Gilpin, Dane DeHaan, Saura Lightfoot Leon, Derek Hinkey","Fugindo do passado, mãe e filho formam uma nova família em meio à crueldade e à luta pela liberdade no oeste dos Estados Unidos."
"""Me Chama de Bruna",68202,Me Chama de Bruna,tv,7.2,407,4.0314,2016-10-08,,Drama,,"Maria Bopp, Suzana Kruger, Luciana Paes, Carla Ribas, Jonathan Haagensen","Raquel é uma jovem de classe média alta que decide mudar de vida, foge de casa e começa a trabalhar no privê da Stella, uma velha cafetina. Entre seus clientes, as rivais e sua família, ela fica cada vez mais convicta sobre o seu lugar, descobre seu corpo e a sua sexualidade se transformando em Bruna, uma das garotas de programa mais requisitadas de São Paulo."
"""Assassinato na Casa Branca",242054,Assassinato na Casa Branca,tv,7.536,289,12.3764,2025-03-20,,Comédia,,"Uzo Aduba, Giancarlo Esposito, Molly Griggs, Ken Marino, Randall Park",Uma detetive brilhante e excêntrica precisa desvendar um assassinato na Casa Branca. O desafio: todos os funcionários e convidados são suspeitos.
"""The Killer""",734519,The Fable: The Killer Who Doesn't Kill,movie,7.0,91,1.5633,2021-02-05,132.0,"Ação, Comédia, Crime",江口カン,"Junichi Okada, 木村文乃, 堤真一, 平手友梨奈, 安藤政信","Akira é o lendário assassino conhecido como Fábula. Seguindo a ordem de seu chefe e devido ao excesso de trabalho, ele vive pacificamente com sua companheira, Yoko, como irmãos comuns. Akira ainda trabalha meio período na empresa de design Octopus com o CEO Takoda e a funcionária Misaki. O CEO Takoda e Misaki não sabem da história de Akira como assassino. Enquanto isso, Utsubo é representante de uma organização sem fins lucrativos. Mas Utsubo trabalha com o assassino contratado Suzuki para incriminar pessoas para fins de extorsão. Eles têm como alvo alguém da empresa de design Octopus."
"""Warrior",73544,Warrior,tv,7.98,637,21.1788,2019-04-05,,"Crime, Drama, Action & Adventure, Faroeste",,"Andrew Koji, Olivia Cheng, Jason Tobin, Dianne Doan, Kieran Bew","Inspirada nos escritos do falecido Bruce Lee, Warrior é uma intensa e pulsante série ambientada durante as brutais Guerras Tong na Chinatown de San Francisco no final do século XIX. A série segue Ah Sahm, um jovem prodígio das artes marciais chinesas que chega a São Francisco e passa a trabalhar como capanga de uma das mais poderosas famílias do crime organizado de Chinatown."
"""A Lista da Vingança""",1172009,A Lista da Vingança,movie,6.7,93,0.9402,2023-09-22,124.0,"Ação, Mistério, Thriller",Editi Effiong,"Richard Mofe-Damijo, Ade Laoye, Sam Dede, Alex Usifo Omiagbo, Shaffy Bello","Para salvar o filho acusado injustamente de sequestro, um homem decide fazer justiça com as próprias mãos e enfrenta uma gangue de policiais corruptos."
"""O Assassino""",800158,O Assassino,movie,6.582,2705,8.0736,2023-10-25,118.0,"Crime, Thriller",David Fincher,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard, Kerry O'Malley","Depois de um erro desastroso, um assassino enfrenta quem o contratou e a si mesmo em uma caçada internacional por vingança. Mas ele jura que nada disso é pessoal."
"""Código de Conduta""",22803,Código de Conduta,movie,7.389,5568,11.0235,2009-10-15,108.0,"Drama, Crime, Thriller",F. Gary Gray,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill, Leslie Bibb","Quando um dos suspeitos do assassinato de sua mulher e filha é solto, Clyde quer vingança e decide fazer justiça com as próprias mãos. Clyde é preso e dentro da cadeia organiza uma matança para desmascarar o sistema judicial corrupto."
"""The Immortal",98123,The Daily Life of the Immortal King,tv,8.35,688,46.3302,2020-01-18,,"Animação, Comédia, Action & Adventure, Sci-Fi & Fantasy",枯玄,"Sun Lulu, Qian Chen, Yin Long, Gu Jiangshan, Titus Jin","Como um gênio do cultivo que alcança um novo domínio a cada dois anos desde que ele tinha um ano, Wang Ling é uma existência quase invencível, com proezas muito além de seu controle. Mas agora que ele tem dezesseis anos, ele enfrenta sua maior batalha até agora - o ensino médio. Com um desafio após o outro, seus planos para uma vida discreta no ensino médio parecem cada vez mais distantes…"
