Tittle_Name,tmdb_id,name,media_type,vote_average,vote_count,popularity,release_date,runtime,genres,director,top_cast,overview
"""My Sassy Girl",11178,My Sassy Girl,movie,7.529,637,1.9635,2001-07-27,123.0,"Drama, Comédia, Romance",곽재용,"전지현, 차태현, 김인문, 송옥숙, 한진희","Kyun-woo, o narrador, volta ao lugar onde, há dois anos, foi enterrada uma “cápsula do tempo”. Ele combinou se encontrar ali com “Ela”. No metropolitano, dois anos antes, ao fim do dia, o jovem estudante universitário se cruza com uma jovem num estado de embriaguez lamentável. As circunstâncias vão levar a que passem muito tempo juntos, apesar da personalidade dominadora e abusiva dela, tornando-se “uma espécie de” namorados. A início, Kyong-woo, quer apenas ajudá-la a curar a mágoa que julga ver nela, libertando-a das memórias de um passado doloroso, mas a relação entre os dois parece fortalecer-se gradualmente."
"""1923",157744,1923,tv,8.217,707,30.0864,2022-12-18,,"Drama, Faroeste",,"Helen Mirren, Harrison Ford, Brandon Sklenar, Julia Schlaepfer, Jerome Flynn","Siga uma nova geração da família Dutton durante o início do século XX, quando pandemias, secas históricas, o fim da Lei Seca e a Grande Depressão assolam o oeste montanhoso e os Duttons que o chamam de lar."
"""Eternal Love",81141,Eternal Love of Dream,tv,7.8,31,6.4089,2020-01-22,,"Drama, Sci-Fi & Fantasy",Yang Xuan,"迪丽热巴, 高偉光, 劉芮麟, Liu Yuefei, 王骁","Dois mil anos de amor e obsessão duradouros entre a monarca feminina de Qing Qiu e o antigo deus do Reino Celestial. Quando Feng Jiu estava praticando cultivo imortal sozinho no deserto, ela foi atacada por um animal e resgatada por Dong Hua Di Jun, do Reino Celestial.  O encontro se torna profundamente arraigado no coração de Feng Jiu e, para pagar suas dívidas, ela decide seguir Dong Huabatalha. Ela logo percebe que seus bons sentimentos em relação a ele evoluíram para o amor, mas Dong Hua é um deus que esqueceu o que significa amor. A fim de proteger Feng Jiu, Dong Hua a envia para o reino humano, o que resulta na morte de um amigo. Feng Jiu entra na sequência dos sonhos da Princesa Alada da Tribo Ah Lan Ruo em busca de um fruto sagrado que pode trazer os mortos de volta à vida, mas fica preso para reviver a vida de Ah Lan Ruo pela eternidade. Dong Hua encontra uma maneira de salvar Feng Jiu e percebe que ele já retribui o amor dela por ele, mas outro obstáculo cruza seu caminho."
"""Bon Appétit, Vossa Majestade",280945,"Bon Appétit, Vossa Majestade",tv,8.848,198,10.6189,2025-08-23,,"Drama, Sci-Fi & Fantasy",장태유,"윤아, Lee Chae Min, 강한나, 최귀화, 오의식",Uma chef talentosa viaja no tempo até a era Joseon e conquista o paladar de um rei tirano com seus pratos modernos. Mas agradar a realeza é o menor dos desafios.
"""Ghosts",126027,Fantasmas,tv,7.921,363,47.0577,2021-10-07,,Comédia,,"Rose McIver, Utkarsh Ambudkar, Brandon Scott Jones, Danielle Pinnock, Richie Moriarty",Samantha e Jay jogam cautela e dinheiro ao vento quando decidem converter uma enorme propriedade rural decadente que herdaram em uma pousada.
"""Quero Você""",1300116,Quero Você,movie,6.128,202,6.0917,2025-08-20,103.0,"Romance, Thriller",Sherry Hormann,"Svenja Jung, Theo Trebs, Tijan Marei, Antje Traue, Thomas Kretschmann","Lilli suspeita do noivo da irmã. Mas, quando um homem misterioso e charmoso aparece, o desejo faz com que ela perca o foco."
"""The Uncanny Counter",113268,Caçadores de Demônios,tv,8.31,410,19.3005,2020-11-28,,"Drama, Mistério, Action & Adventure",You Sun-dong,"조병규, 유준상, 김세정, 염혜란, 안석환","De dia, trabalham num restaurante. À noite, são caçadores de demônios. Eles usam seus poderes especiais para perseguir espíritos malignos que atacam os humanos."
"""Trailer 1",1571453,Bizarre 1 Hour Trailer Bazaar!,movie,0.0,0,0.0143,2019-10-11,86.0,"Documentário, Terror",,,
"""A Korean Odyssey",75123,Uma Odisséia Coreana,tv,8.036,302,5.3731,2017-12-23,,"Comédia, Mistério, Sci-Fi & Fantasy, Drama",Kim Jeong-hyeon,"이승기, 차승원, 오연서, 이홍기, 장광",A tentativa de uma criatura mítica por invencibilidade sai pela culatra quando ele se encontra à mercê de uma mulher que pode ver seres de outro mundo.
"""Blood",61440,Strike the Blood,tv,6.857,77,29.822,2013-10-04,,"Animação, Action & Adventure, Sci-Fi & Fantasy",,"Yoshimasa Hosoya, 種田梨沙, Asami Seto, Rina Hidaka, 葉山いくみ","O Quarto Progenitor... o vampiro mais forte do mundo que só deveria existir em lendas. Acompanhado por 12 Bestas Mágicas e espalhando a calamidade por onde passa, esse vampiro fantasma finalmente aparece no mundo em uma ilha do Japão. Para observar e, caso necessário, eliminar essa terrível ameaça, a organização governamental secreta Lion King enviou uma maga de ataque, a Xamã de Espada, Himegari Yukina. Qual a verdadeira identidade do Quarto Progenitor?!"
"""The Longest Promise",130270,A Promessa Mais Longa,tv,7.158,19,5.717,2023-07-02,,"Sci-Fi & Fantasy, Drama",Jiang Jia Jun,"肖战, 任敏, 方逸倫, 王楚然, 王子奇","A história se passa no continente Kong Sang e gira em torno da tumultuada história de amor entre Zhu Yan, princesa da tribo Chi Yi e Shi Ying, um príncipe real. A mãe de Shi Ying foi incriminada e ele foi banido para a montanha Jiu Yi para cultivar. Originalmente focado em nada além do cultivo, ele começou a desenvolver sentimentos românticos por Zhu Yan, seu discípulo. No entanto, por causa de seu relacionamento como professor e aluno, ambos não expressam seus sentimentos. O destino também está em seu caminho quando eles se posicionam em lados opostos na luta política e passam por situações de vida ou morte. No entanto, eles eventualmente deixam de lado seus problemas e trabalham juntos de mãos dadas para proteger o Continente Kong Sang."
"""Fishbowl Wives",154861,Fishbowl Wives,tv,6.012,42,6.9371,2022-02-14,,Drama,松山博昭,"篠原涼子, 岩田剛典, 安藤政信, 長谷川京子, 松本若菜","Em um prédio de luxo, seis mulheres que vivem casamentos infelizes acabam cedendo à tentação da infidelidade. Baseada na série de mangás de Kurosawa R."
"""Uma Seul Desconhecida",261980,Uma Seul Desconhecida,tv,8.385,74,5.9545,2025-05-24,,Drama,Park Shin-woo,"Park Bo-young, Park Jin Young, 박윤호, Kim Sun-young, Jang Young Nam","Parecidas só no visual, duas gêmeas trocam de lugar em meio a dificuldades pessoais, embarcando em uma jornada de redescoberta do amor e da vida."
"""Business Proposal",1406956,A Business Proposal,movie,2.7,13,0.407,2025-02-06,117.0,"Drama, Comédia, Romance",Rako Prijanto,"Ariel Tatum, Caitlin Halderman, Abidzar Al-Ghifari, Ardhito Pramono, Slamet Rahardjo",
"""True Beauty",239779,True Beauty,tv,8.224,76,5.3265,2024-08-07,,"Animação, Comédia",,"Hina Suguta, Taito Ban, 堂島颯人, 佐藤日向","Antes alvo de bullying por causa da aparência, Jugyeong se reinventa por meio da arte da maquiagem. Ao se transferir para uma nova escola que promove a competição “Deusa da Beleza”, na qual as vencedoras têm a chance de serem recrutadas por agências de entretenimento, ela rapidamente se torna uma das favoritas. Porém, sua nova identidade corre perigo quando o galã Suho Lee acaba vendo seu rosto sem maquiagem. Será que seu status de elite vai durar pouco?"
"""The Real Has Come!",214422,Chegou a Hora da Verdade!,tv,7.2,20,4.6808,2023-03-25,,Drama,Han Joon-seo,"백진희, 안재현, 차주영, Jung Eui-jae, 강부자","Prestes a ser mãe solo, uma mulher bem-sucedida começa um relacionamento de fachada com um solteirão convicto. Mas manter essa mentira pode ser um grande desafio."
"""Retorno da Lenda""",785663,Retorno da Lenda,movie,7.279,664,1.9989,2021-10-01,99.0,"Faroeste, Ação, Drama",Potsy Ponciroli,"Tim Blake Nelson, Scott Haze, Gavin Lewis, Stephen Dorff, Trace Adkins","Um fazendeiro acolhe um homem ferido com um saco de dinheiro. Quando uma gangue vem buscar o dinheiro, ele deve decidir em quem confiar. Defendendo um cerco, ele revela um talento de pistoleiro que põe em questão sua verdadeira identidade."
"""Frontier",205050,Shangri-La Frontier,tv,8.1,200,19.8866,2023-10-01,,"Animação, Action & Adventure, Comédia, Sci-Fi & Fantasy",,"Yuma Uchida, Azumi Waki, Yoko Hikasa, Makoto Koichi, Rina Hidaka","Este é um mundo num futuro próximo em que os jogos que usam telas para exibição são classificados como retrô. Qualquer coisa que não consiga acompanhar a tecnologia de VR de última geração é chamada de ""jogo porcaria"", e vários jogos porcaria são lançados dia após dia. Aqueles que dedicam suas vidas a dominar esses jogos são chamados de ""caçadores de porcaria"", e Rakuro Hizutome é um desses. O jogo que ele escolheu para enfrentar a seguir é Shangri-La Frontier, um ""jogo de nível divino"" que tem um total de 30 milhões de jogadores. Amigos online... Um mundo expansivo... Encontros com rivais... Tudo isso está mudando Rakuro e o destino de todos os outros jogadores! O melhor conto de aventura do mais forte do jogador de ""jogos porcaria"" está prestes a começar!"
"""The Defeated",123446,The Great Jahy Will Not Be Defeated!,tv,6.894,52,5.2811,2021-08-01,,"Animação, Comédia, Sci-Fi & Fantasy",,"Naomi Ozora, Ai Kayano, Yoko Hikasa, Kana Hanazawa, Mikako Komatsu","No Mundo Inferior, a Grande Jahy ficava atrás apenas do rei dos demônios. Temida por todos, ela devia estar aproveitando ser infinitamente obstinada e hedonística, quando uma garota mágica a atacou e a explodiu, jogando-a no mundo humano. Forçada a viver na pobreza, seus dias consistem em trabalhar em um bar, enquanto mora em um pequeno quitinete sem banheiro. Transbordando pena e demanda por aluguel, suas ambições são grandes: Restaurar o Mundo Inferior!"
"""Gostinho de Amor",281006,Gostinho de Amor,tv,8.442,60,4.8628,2025-05-12,,"Comédia, Drama",Park Dan-hee,"Kang Ha Neul, Go Min Si, Kim Shin Rok, Yoo Su Bin, 배나라","Em busca do estrelato culinário, um herdeiro arrogante conhece uma chef discreta, mas teimosa, e se encanta com suas receitas. Seria o início de um romance improvável?"
"""Lances Inocentes""",14291,Lances Inocentes,movie,7.066,627,1.5737,1993-08-13,110.0,Drama,Steven Zaillian,"Max Pomeranc, Joe Mantegna, Joan Allen, Ben Kingsley, Laurence Fishburne","Menino de sete anos de idade apresenta talento extraordinário para o xadrez. Seu pai, um cronista esportivo, começa a inscrevê-lo em torneios, nos quais é tido como uma revelação. A busca pelo sucesso ameaça tornar-se obsessiva, mas pai e filho têm uma rara oportunidade de reavaliar sua relação."
